Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,State,Category,Sub-Category,Quantity,Discount,Sales,Profit
ORD-100000,2023-11-06,2023-11-12,Second Class,Home Office,Central,Michigan,Office Supplies,Storage,8,0.0,346.17,64.1
ORD-100001,2024-04-26,2024-05-04,Standard Class,Home Office,South,Tennessee,Office Supplies,Art,1,0.2,11.14,0.7
ORD-100002,2024-03-21,2024-03-28,Standard Class,Home Office,East,New York,Office Supplies,Fasteners,1,0.0,5.54,1.69
ORD-100003,2024-03-15,2024-03-23,Standard Class,Consumer,South,North Carolina,Office Supplies,Paper,5,0.0,52.32,18.3
ORD-100004,2025-06-24,2025-07-02,Standard Class,Consumer,Central,Michigan,Technology,Accessories,3,0.15,181.51,23.99
ORD-100005,2025-06-11,2025-06-18,Standard Class,Corporate,West,Nevada,Office Supplies,Labels,6,0.0,49.45,13.12
ORD-100006,2025-01-21,2025-01-29,Standard Class,Corporate,East,Virginia,Office Supplies,Art,4,0.0,42.45,12.07
ORD-100007,2024-06-19,2024-06-26,Standard Class,Consumer,East,Virginia,Furniture,Furnishings,7,0.1,317.66,36.54
ORD-100008,2023-10-30,2023-11-05,Second Class,Consumer,East,New Jersey,Furniture,Furnishings,5,0.0,225.7,44.97
ORD-100009,2025-03-12,2025-03-20,Standard Class,Consumer,Central,Ohio,Office Supplies,Storage,1,0.0,41.29,6.85
ORD-100010,2025-05-04,2025-05-12,Standard Class,Home Office,Central,Ohio,Office Supplies,Paper,3,0.0,24.71,8.74
ORD-100011,2025-07-23,2025-07-28,Second Class,Corporate,West,Nevada,Furniture,Tables,8,0.1,2106.65,-96.76
ORD-100012,2024-12-10,2024-12-18,Standard Class,Consumer,Central,Michigan,Furniture,Chairs,2,0.1,179.27,-1.27
ORD-100013,2025-10-05,2025-10-12,Standard Class,Corporate,East,New Jersey,Furniture,Tables,8,0.0,3238.23,312.67
ORD-100014,2024-08-04,2024-08-12,Standard Class,Consumer,South,Florida,Office Supplies,Art,5,0.0,75.99,19.47
ORD-100015,2024-06-19,2024-06-25,Second Class,Consumer,West,Washington,Office Supplies,Art,8,0.2,112.41,5.62
ORD-100016,2025-07-08,2025-07-12,First Class,Corporate,West,Washington,Office Supplies,Binders,4,0.4,69.46,-5.99
ORD-100017,2024-10-27,2024-10-27,Same Day,Consumer,West,Arizona,Furniture,Furnishings,9,0.2,395.93,-1.88
ORD-100018,2024-09-09,2024-09-17,Standard Class,Corporate,East,New Jersey,Office Supplies,Paper,8,0.0,49.96,13.25
ORD-100019,2025-02-20,2025-02-22,First Class,Consumer,West,California,Furniture,Furnishings,2,0.0,104.47,17.16
ORD-100020,2024-01-02,2024-01-08,Second Class,Consumer,East,New Jersey,Office Supplies,Binders,2,0.1,27.56,3.89
ORD-100021,2024-01-01,2024-01-08,Standard Class,Corporate,West,Arizona,Office Supplies,Labels,10,0.0,55.08,18.73
ORD-100022,2023-06-09,2023-06-15,Standard Class,Consumer,Central,Illinois,Technology,Copiers,7,0.0,6442.52,703.07
ORD-100023,2024-11-21,2024-11-28,Standard Class,Home Office,South,Florida,Office Supplies,Art,2,0.2,18.87,-0.3
ORD-100024,2024-10-10,2024-10-18,Standard Class,Home Office,East,Massachusetts,Office Supplies,Art,5,0.15,32.12,1.81
ORD-100025,2023-11-24,2023-12-01,Standard Class,Corporate,West,Washington,Technology,Phones,2,0.2,453.18,-22.57
ORD-100026,2023-12-10,2023-12-16,Standard Class,Consumer,South,North Carolina,Furniture,Chairs,2,0.0,245.93,39.47
ORD-100027,2025-07-20,2025-07-27,Standard Class,Consumer,East,Virginia,Technology,Machines,2,0.0,1370.96,154.83
ORD-100028,2023-11-18,2023-11-25,Standard Class,Consumer,East,Pennsylvania,Office Supplies,Binders,10,0.0,221.73,66.11
ORD-100029,2025-06-10,2025-06-18,Standard Class,Corporate,South,Georgia,Office Supplies,Labels,6,0.1,47.77,5.13
ORD-100030,2024-11-28,2024-12-05,Standard Class,Consumer,East,Massachusetts,Furniture,Bookcases,4,0.0,660.87,18.21
ORD-100031,2024-12-01,2024-12-09,Standard Class,Home Office,Central,Illinois,Technology,Machines,9,0.15,4668.36,-452.19
ORD-100032,2025-04-21,2025-04-25,First Class,Corporate,Central,Texas,Furniture,Tables,2,0.15,612.51,-50.33
ORD-100033,2025-06-22,2025-06-29,Standard Class,Consumer,West,Oregon,Technology,Copiers,8,0.2,5052.79,-397.6
ORD-100034,2025-01-28,2025-02-04,Standard Class,Corporate,East,New York,Furniture,Chairs,5,0.1,543.11,25.28
ORD-100035,2023-12-12,2023-12-18,Second Class,Home Office,East,Pennsylvania,Furniture,Bookcases,5,0.2,1018.11,-109.2
ORD-100036,2024-07-20,2024-07-28,Standard Class,Consumer,South,Alabama,Office Supplies,Labels,2,0.4,7.77,-0.51
ORD-100037,2024-11-28,2024-11-28,Same Day,Home Office,Central,Texas,Office Supplies,Art,8,0.4,96.18,-1.62
ORD-100038,2023-04-22,2023-04-30,Standard Class,Corporate,Central,Texas,Office Supplies,Binders,9,0.0,97.15,24.12
ORD-100039,2025-12-07,2025-12-15,Standard Class,Corporate,West,Oregon,Furniture,Furnishings,9,0.0,419.0,88.16
ORD-100040,2025-06-08,2025-06-14,Standard Class,Consumer,South,Alabama,Furniture,Chairs,10,0.15,980.68,-19.32
ORD-100041,2025-07-19,2025-07-27,Standard Class,Corporate,West,Arizona,Office Supplies,Art,9,0.3,103.14,2.43
ORD-100042,2024-12-18,2024-12-22,Second Class,Consumer,Central,Ohio,Furniture,Chairs,9,0.0,623.57,52.68
ORD-100043,2023-08-24,2023-08-28,Second Class,Home Office,West,California,Office Supplies,Labels,1,0.3,2.96,0.2
ORD-100044,2025-06-12,2025-06-18,Second Class,Home Office,West,Nevada,Office Supplies,Paper,6,0.0,71.83,22.0
ORD-100045,2024-01-24,2024-02-01,Standard Class,Corporate,East,New Jersey,Technology,Accessories,5,0.1,442.1,67.54
ORD-100046,2025-03-15,2025-03-21,Standard Class,Consumer,West,California,Office Supplies,Paper,5,0.0,21.68,5.97
ORD-100047,2025-02-02,2025-02-09,Standard Class,Consumer,West,Washington,Office Supplies,Storage,8,0.15,439.67,17.48
ORD-100048,2024-08-29,2024-09-06,Standard Class,Consumer,Central,Illinois,Office Supplies,Art,8,0.3,100.04,-2.23
ORD-100049,2024-12-10,2024-12-18,Standard Class,Consumer,East,Pennsylvania,Technology,Copiers,9,0.0,7520.35,888.59
ORD-100050,2025-07-07,2025-07-10,First Class,Corporate,West,Nevada,Furniture,Tables,4,0.0,885.74,-70.95
ORD-100051,2024-07-16,2024-07-20,Second Class,Home Office,East,New Jersey,Office Supplies,Fasteners,8,0.0,40.99,8.88
ORD-100052,2025-07-12,2025-07-14,Same Day,Consumer,West,Nevada,Furniture,Bookcases,6,0.2,1354.22,-213.5
ORD-100053,2024-10-26,2024-11-03,Standard Class,Consumer,East,Virginia,Office Supplies,Storage,2,0.0,97.66,16.42
ORD-100054,2024-12-10,2024-12-18,Standard Class,Consumer,West,California,Office Supplies,Paper,9,0.15,73.89,12.92
ORD-100055,2024-08-10,2024-08-12,First Class,Consumer,Central,Michigan,Office Supplies,Binders,5,0.2,127.64,12.32
ORD-100056,2024-12-14,2024-12-20,Standard Class,Home Office,South,Georgia,Office Supplies,Art,4,0.3,44.24,-2.24
ORD-100057,2024-11-06,2024-11-13,Standard Class,Consumer,East,Pennsylvania,Technology,Phones,1,0.0,248.02,36.61
ORD-100058,2025-08-21,2025-08-25,Second Class,Consumer,South,Alabama,Office Supplies,Art,10,0.2,82.57,8.14
ORD-100059,2025-10-18,2025-10-18,Same Day,Corporate,Central,Minnesota,Office Supplies,Storage,3,0.2,91.05,-7.4
ORD-100060,2025-10-28,2025-11-03,Standard Class,Home Office,Central,Minnesota,Office Supplies,Storage,8,0.0,370.97,46.2
ORD-100061,2023-08-11,2023-08-19,Standard Class,Consumer,South,North Carolina,Office Supplies,Labels,7,0.15,44.59,5.92
ORD-100062,2025-03-07,2025-03-10,First Class,Consumer,Central,Illinois,Office Supplies,Labels,1,0.1,4.92,1.13
ORD-100063,2025-07-21,2025-07-29,Standard Class,Corporate,East,Massachusetts,Office Supplies,Fasteners,9,0.0,23.21,4.82
ORD-100064,2024-08-13,2024-08-18,Second Class,Consumer,West,Oregon,Furniture,Furnishings,9,0.5,359.05,-101.79
ORD-100065,2025-02-17,2025-02-24,Standard Class,Home Office,West,California,Office Supplies,Art,10,0.1,111.33,25.24
ORD-100066,2025-03-15,2025-03-22,Standard Class,Consumer,West,Washington,Office Supplies,Paper,5,0.4,39.43,-3.0
ORD-100067,2025-08-25,2025-09-02,Standard Class,Consumer,West,Washington,Office Supplies,Fasteners,8,0.1,41.44,4.2
ORD-100068,2024-06-21,2024-06-27,Standard Class,Consumer,West,Washington,Technology,Machines,8,0.2,4074.99,-427.86
ORD-100069,2025-06-14,2025-06-20,Standard Class,Home Office,South,North Carolina,Technology,Accessories,6,0.0,318.7,71.07
ORD-100070,2023-11-21,2023-11-28,Standard Class,Consumer,East,Virginia,Technology,Machines,1,0.1,414.55,1.87
ORD-100071,2025-04-23,2025-05-01,Standard Class,Consumer,West,Arizona,Furniture,Chairs,4,0.0,511.22,61.07
ORD-100072,2024-12-07,2024-12-14,Standard Class,Consumer,West,Oregon,Office Supplies,Fasteners,8,0.2,36.7,3.12
ORD-100073,2024-08-03,2024-08-06,First Class,Corporate,West,Arizona,Office Supplies,Storage,1,0.1,59.32,3.7
ORD-100074,2024-03-14,2024-03-20,Standard Class,Home Office,West,Washington,Furniture,Chairs,2,0.15,262.72,8.54
ORD-100075,2025-03-05,2025-03-13,Standard Class,Consumer,East,Massachusetts,Technology,Copiers,8,0.3,6570.76,-1195.69
ORD-100076,2025-06-29,2025-07-06,Standard Class,Home Office,East,Virginia,Office Supplies,Art,8,0.15,120.32,16.89
ORD-100077,2023-05-20,2023-05-27,Standard Class,Consumer,West,Arizona,Office Supplies,Binders,8,0.15,196.96,39.27
ORD-100078,2025-04-20,2025-04-28,Standard Class,Consumer,South,Florida,Furniture,Bookcases,6,0.5,906.25,-383.52
ORD-100079,2025-08-06,2025-08-12,Standard Class,Consumer,South,North Carolina,Technology,Accessories,7,0.0,341.66,64.91
ORD-100080,2025-02-18,2025-02-26,Standard Class,Home Office,West,Washington,Furniture,Bookcases,9,0.0,1277.76,-17.06
ORD-100081,2025-05-29,2025-05-29,Same Day,Corporate,East,Massachusetts,Office Supplies,Labels,5,0.1,27.63,5.16
ORD-100082,2024-09-26,2024-10-01,Second Class,Consumer,East,New Jersey,Technology,Machines,2,0.4,696.71,-175.91
ORD-100083,2025-05-14,2025-05-17,First Class,Consumer,South,Alabama,Office Supplies,Fasteners,4,0.1,25.29,0.58
ORD-100084,2025-07-28,2025-07-31,First Class,Consumer,Central,Minnesota,Technology,Accessories,1,0.0,87.56,19.84
ORD-100085,2024-09-26,2024-10-03,Standard Class,Corporate,South,Alabama,Technology,Machines,7,0.1,2515.24,-3.12
ORD-100086,2024-09-25,2024-10-01,Standard Class,Consumer,South,North Carolina,Office Supplies,Storage,2,0.15,54.18,2.26
ORD-100087,2024-06-16,2024-06-24,Standard Class,Corporate,West,California,Technology,Phones,2,0.1,530.03,25.51
ORD-100088,2024-12-11,2024-12-17,Standard Class,Home Office,West,California,Office Supplies,Storage,3,0.2,154.01,-3.23
ORD-100089,2024-01-10,2024-01-16,Standard Class,Home Office,South,Tennessee,Furniture,Furnishings,6,0.0,154.98,22.73
ORD-100090,2025-07-20,2025-07-27,Standard Class,Consumer,East,New Jersey,Furniture,Chairs,8,0.0,542.16,73.51
ORD-100091,2023-12-17,2023-12-24,Standard Class,Consumer,Central,Texas,Technology,Copiers,3,0.2,2061.01,-132.15
ORD-100092,2025-08-02,2025-08-09,Standard Class,Corporate,East,New York,Technology,Phones,6,0.0,1017.22,129.48
ORD-100093,2024-12-08,2024-12-16,Standard Class,Corporate,South,Florida,Office Supplies,Fasteners,5,0.0,25.04,5.96
ORD-100094,2024-04-05,2024-04-13,Standard Class,Consumer,East,Virginia,Office Supplies,Fasteners,1,0.0,5.26,1.34
ORD-100095,2024-03-12,2024-03-12,Same Day,Consumer,East,New York,Office Supplies,Storage,9,0.2,264.82,-3.16
ORD-100096,2025-06-18,2025-06-22,Second Class,Consumer,South,Tennessee,Office Supplies,Storage,8,0.2,580.78,-14.38
ORD-100097,2024-06-19,2024-06-26,Standard Class,Consumer,East,Pennsylvania,Technology,Accessories,5,0.0,278.79,65.73
ORD-100098,2024-11-16,2024-11-22,Standard Class,Consumer,East,New York,Office Supplies,Fasteners,5,0.4,13.58,-1.78
ORD-100099,2025-08-13,2025-08-17,Second Class,Consumer,Central,Minnesota,Office Supplies,Fasteners,10,0.1,42.65,7.03
ORD-100100,2025-01-26,2025-01-31,Second Class,Corporate,South,Tennessee,Office Supplies,Storage,6,0.3,362.14,-44.32
ORD-100101,2023-11-02,2023-11-08,Second Class,Consumer,East,Massachusetts,Furniture,Tables,7,0.0,1306.55,49.25
ORD-100102,2023-12-28,2024-01-03,Standard Class,Consumer,Central,Minnesota,Office Supplies,Fasteners,3,0.15,15.46,1.57
ORD-100103,2024-05-24,2024-05-28,Second Class,Home Office,East,New Jersey,Office Supplies,Labels,4,0.4,22.19,-1.78
ORD-100104,2024-11-03,2024-11-05,First Class,Home Office,West,Oregon,Office Supplies,Storage,4,0.1,250.67,16.06
ORD-100105,2025-07-16,2025-07-16,Same Day,Home Office,East,Virginia,Technology,Phones,8,0.2,2472.36,142.92
ORD-100106,2024-05-27,2024-06-03,Standard Class,Corporate,East,Massachusetts,Office Supplies,Paper,5,0.0,39.86,14.56
ORD-100107,2025-07-13,2025-07-21,Standard Class,Consumer,West,Washington,Office Supplies,Binders,8,0.0,135.75,29.36
ORD-100108,2025-09-12,2025-09-13,Same Day,Consumer,West,Arizona,Office Supplies,Binders,1,0.0,19.95,5.64
ORD-100109,2024-02-28,2024-03-06,Standard Class,Consumer,South,Georgia,Technology,Accessories,6,0.1,418.6,65.81
ORD-100110,2025-05-11,2025-05-11,Same Day,Corporate,South,Florida,Furniture,Furnishings,4,0.1,201.41,22.95
ORD-100111,2025-07-03,2025-07-10,Standard Class,Corporate,Central,Michigan,Technology,Machines,4,0.2,1577.08,-277.71
ORD-100112,2024-01-31,2024-02-06,Standard Class,Home Office,South,Georgia,Furniture,Chairs,1,0.0,110.09,9.91
ORD-100113,2024-02-18,2024-02-24,Standard Class,Corporate,Central,Texas,Technology,Phones,9,0.2,2529.15,-170.55
ORD-100114,2025-05-25,2025-06-01,Standard Class,Corporate,West,Oregon,Office Supplies,Storage,8,0.1,179.3,-3.6
ORD-100115,2024-02-28,2024-03-05,Standard Class,Consumer,West,Nevada,Furniture,Furnishings,9,0.0,502.47,95.92
ORD-100116,2025-10-25,2025-10-28,First Class,Consumer,Central,Texas,Technology,Machines,2,0.0,818.27,32.58
ORD-100117,2025-04-30,2025-05-07,Standard Class,Corporate,Central,Texas,Technology,Accessories,1,0.15,29.97,3.01
ORD-100118,2024-09-18,2024-09-24,Standard Class,Home Office,East,Pennsylvania,Office Supplies,Labels,6,0.0,43.69,11.71
ORD-100119,2025-03-22,2025-03-30,Standard Class,Consumer,West,Washington,Technology,Phones,9,0.1,3497.25,138.96
ORD-100120,2025-04-12,2025-04-20,Standard Class,Corporate,West,Washington,Furniture,Chairs,1,0.0,96.63,13.22
ORD-100121,2023-08-26,2023-09-02,Standard Class,Consumer,West,Nevada,Office Supplies,Fasteners,3,0.15,12.57,0.97
ORD-100122,2025-03-05,2025-03-11,Standard Class,Consumer,South,Tennessee,Furniture,Chairs,9,0.2,1230.85,-53.62
ORD-100123,2025-09-25,2025-10-03,Standard Class,Consumer,South,North Carolina,Office Supplies,Binders,9,0.0,116.53,27.11
ORD-100124,2025-02-10,2025-02-17,Standard Class,Consumer,East,Pennsylvania,Office Supplies,Fasteners,4,0.0,27.76,7.53
ORD-100125,2025-03-14,2025-03-18,First Class,Consumer,East,New Jersey,Office Supplies,Storage,10,0.0,335.58,63.32
ORD-100126,2024-07-25,2024-07-31,Standard Class,Corporate,East,Pennsylvania,Office Supplies,Storage,4,0.0,193.48,36.76
ORD-100127,2024-05-27,2024-05-31,First Class,Corporate,East,Virginia,Office Supplies,Paper,10,0.1,100.25,29.22
ORD-100128,2023-03-10,2023-03-18,Standard Class,Home Office,South,Alabama,Office Supplies,Storage,7,0.1,353.09,38.04
ORD-100129,2025-06-14,2025-06-22,Standard Class,Consumer,South,Georgia,Furniture,Tables,9,0.0,2930.7,-38.72
ORD-100130,2025-10-13,2025-10-15,Same Day,Consumer,West,Oregon,Office Supplies,Labels,9,0.0,40.97,12.38
ORD-100131,2025-01-28,2025-01-30,Same Day,Home Office,East,New York,Office Supplies,Binders,7,0.1,37.34,6.58
ORD-100132,2024-07-10,2024-07-12,First Class,Home Office,West,Arizona,Office Supplies,Labels,1,0.1,3.66,0.94
ORD-100133,2023-07-22,2023-07-30,Standard Class,Consumer,West,Nevada,Office Supplies,Labels,6,0.0,34.89,11.5
